外邦図_地図記号,外邦図_画像X(px),外邦図_画像Y(py),外邦図_緯度,外邦図_経度,現存結果,正解データ_種別,正解データ_固有名,正解データ_緯度,正解データ_経度,距離差_メートル
shrine,3981.5671997070312,1210.6726989746094,33.31587979630852,130.3801426961381,True,神社,名称不明,33.31528682502431,130.37981584668157,72.59
shrine,4650.641372680664,2278.0907440185547,33.27504459117348,130.41067221558978,True,神社,名称不明,33.274531704507844,130.41030317544934,66.55
shrine,4769.171417236328,2138.5020599365234,33.280377707312105,130.41605390555614,True,神社,名称不明,33.27995493619707,130.41621744632724,49.41
shrine,5093.417045593262,4076.3636932373047,33.20644095521818,130.4305702670838,True,神社,名称不明,33.20621411661011,130.429774671793,78.2
shrine,6529.55126953125,3461.091881752014,33.229875148207455,130.49586974719307,True,神社,琴平神社,33.22910662882156,130.4962840676308,93.74
shrine,5060.017992019653,4251.530456542969,33.19977091762644,130.429004126607,True,神社,名称不明,33.19906038110378,130.42910009622577,79.51
shrine,5632.434761047363,2107.8067169189453,33.28154062574374,130.45525196682797,False,神社,名称不明,33.2813877701714,130.459316521883,378.21
shrine,1235.2086486816406,1868.012405395508,33.290752857596964,130.25506321704228,True,神社,名称不明,33.29049322789922,130.25440245866778,67.86
shrine,2707.9733424186707,4159.25666809082,33.2032914061031,130.32199799492415,True,神社,名称不明,33.20286006932773,130.32194584608075,48.21
shrine,2009.1814575195312,924.8384399414062,33.32685195835844,130.2902497666624,False,神社,名称不明,33.32485378870972,130.2941782772541,427.31
shrine,4443.790100097656,1702.4511260986328,33.297054113876285,130.40123291043597,True,神社,名称不明,33.29651854090476,130.40060296654698,83.51
shrine,5386.964813232422,4036.653198242188,33.20795184501025,130.44391274364597,True,神社,名称不明,33.20750228796718,130.44417276978493,55.53
shrine,6357.645294189453,3875.295669555664,33.21409186178447,130.4879966978945,True,神社,名称不明,33.21384861152542,130.48793166875836,27.72
shrine,4615.10011100769,4156.440727233887,33.203393500223704,130.4088124230367,True,神社,名称不明,33.2031630497718,130.40889769792554,26.83
shrine,4468.338562011719,972.1984252929688,33.32500502044467,130.40222478869327,True,神社,名称不明,33.325340121469615,130.40264680981633,54.09
shrine,4936.019744873047,2939.3777465820312,33.24978908495234,130.42361818613676,False,神社,名称不明,33.250291785773946,130.41823714971545,503.5
shrine,3876.820992469788,3571.853881835937,33.22567113825116,130.37537273091982,True,神社,名称不明,33.225072488335925,130.3747183084488,90.2
shrine,5673.253890991211,3473.58459854126,33.22940606998315,130.45702806936845,True,神社,名称不明,33.22889572730998,130.45647874474523,76.36
shrine,1217.0224609375,1979.1829223632812,33.28650105567651,130.25423907343773,True,神社,名称不明,33.286271337431,130.25375336408618,51.87
shrine,5715.730499267578,3300.301878929138,33.236013082645314,130.45898199820306,True,神社,名称不明,33.23560281935412,130.4590201377869,45.76
shrine,3436.527313232422,4153.9370193481445,33.20349262206096,130.35519173947583,True,神社,名称不明,33.202735510396586,130.35520389676097,84.19
shrine,5873.219772338867,3936.088638305665,33.211779394956174,130.46600941045205,True,神社,名称不明,33.21144859737173,130.4660890996456,37.52
shrine,5388.06298828125,4790.584838867188,33.17925660307472,130.44372349926175,True,神社,名称不明,33.178390376780406,130.4434311389923,100.09
shrine,1376.3548822402954,1090.8631286621094,33.320498776637855,130.26140775074987,True,神社,名称不明,33.32008108427885,130.2610878646374,55.14
shrine,5465.591163635254,1732.8124136924744,33.295879629257,130.44764879556945,True,神社,矢俣八幡宮,33.29553322050377,130.44767707586288,38.61
shrine,5628.241851806641,2108.139892578125,33.281527944511225,130.4550617082919,False,神社,名称不明,33.2813877701714,130.459316521883,395.82
shrine,3832.2730712890634,2100.931640625,33.28182373570036,130.37345414503957,False,神社,名称不明,33.28066462920388,130.37120461463925,245.64
shrine,3220.536865234375,2309.4609813690186,33.27385954189418,130.3456143656719,False,神社,名称不明,33.272602042573126,130.33357322216037,1128.12
shrine,3522.6927032470703,4652.7056884765625,33.1845052855484,130.3589523054049,True,神社,名称不明,33.183952015711384,130.3589630126953,61.53
shrine,4563.365814208984,1235.6712493896484,33.31491474214662,130.4065981554785,True,神社,名称不明,33.31460094870469,130.40714755654332,61.84
shrine,3137.932518005371,3659.131378173828,33.222347150258344,130.34171547472906,True,神社,名称不明,33.2218111603479,130.3417190909386,59.6
shrine,1780.9771575927734,2348.569549560547,33.27237582295931,130.27999107735403,False,神社,名称不明,33.272421520013154,130.2875880897045,706.29
shrine,5890.475112915039,3004.7611236572266,33.247285277495884,130.4669444686388,True,神社,名称不明,33.24697083270341,130.46702384948728,35.74
shrine,3605.312774658203,2968.2570877075195,33.24869715938688,130.36310305609535,True,神社,名称不明,33.24770659002712,130.36244720220566,125.9
shrine,4156.665313720703,2058.162506103516,33.28345528401461,130.38820767794112,True,神社,名称不明,33.283135616389686,130.38714766502378,104.75
shrine,5768.00146484375,4225.812927246094,33.20074666907957,130.4611589158364,True,神社,名称不明,33.200533817877414,130.46147301793096,37.61
shrine,3195.3235626220703,1299.7733154296875,33.31247858683384,130.34437771407678,True,神社,名称不明,33.312925460166774,130.34596636891368,155.76
shrine,3314.4960021972656,4394.0845947265625,33.194348654218665,130.3495608402435,True,神社,名称不明,33.193937386261766,130.34990251064303,55.7
shrine,4727.2044677734375,2538.632781982422,33.265090722911,130.4141514256415,True,神社,名称不明,33.26461272114804,130.41401669383052,54.61
shrine,1953.548278808594,1353.3297729492188,33.31044203385873,130.28779234489937,True,神社,名称不明,33.309247117541354,130.2876551449299,133.48
shrine,2499.225341796875,2429.150451660156,33.26929180229422,130.31274905146918,True,神社,名称不明,33.269787642204385,130.31274586915967,55.14
shrine,4705.16374206543,1315.951141357422,33.31183965717355,130.413056027124,True,神社,名称不明,33.311388913610315,130.412855297327,53.48
shrine,4666.191711425781,1044.2143096923828,33.32224398040799,130.4112319609123,False,神社,名称不明,33.325340121469615,130.40264680981633,868.79
shrine,3572.8972091674805,1836.553588867188,33.29193497797211,130.3616341817733,True,神社,名称不明,33.29149654145152,130.3614105284214,53.0
shrine,5525.844589233398,3416.75439453125,33.23157397415149,130.45034627292674,False,神社,名称不明,33.23483779487401,130.4521295428276,399.02
shrine,5037.9932861328125,4091.196746826172,33.205876312410446,130.4280484871806,True,神社,名称不明,33.20550942948391,130.42790517210963,42.92
shrine,2801.932273864746,676.0064544677734,33.33637720517049,130.32632508372313,True,神社,名称不明,33.33626732525572,130.3274028003216,100.86
shrine,5085.141929626465,4688.309478759766,33.18314788905928,130.4300022617251,True,神社,名称不明,33.18243564825491,130.42963787913325,86.15
shrine,2493.47265625,1851.7102127075195,33.29136598936585,130.31246959865547,True,神社,名称不明,33.290738732504934,130.31189024448392,88.12
shrine,6335.443603515625,4042.8004150390634,33.2077119636168,130.48694996223102,True,神社,名称不明,33.20722064236467,130.48742339015004,70.18
shrine,1363.0538730621338,1531.9415283203125,33.30361060619267,130.26086929460328,True,神社,名称不明,33.30309602608601,130.2600431442261,95.75
shrine,4886.521675109863,1147.6644897460938,33.31827942799005,130.42126334861842,True,神社,名称不明,33.31771088387403,130.42073562741282,80.01
shrine,3345.604965209961,3293.0922470092773,33.236304346756924,130.35123944955066,True,神社,名称不明,33.23569255785744,130.35100892186168,71.33
shrine,5293.247596740723,4819.086866378784,33.17817281454141,130.43940662754315,True,神社,名称不明,33.17781118278418,130.43913826346397,47.34
shrine,3236.4222259521484,4684.421798706055,33.18329863607012,130.34590326289822,True,神社,名称不明,33.1825748274129,130.3455922007561,85.53
shrine,3203.641689300537,2573.885025024414,33.263757538568406,130.34484119574952,True,神社,名称不明,33.26327605032349,130.34468695521358,55.43
shrine,1416.4010772705078,1368.5379028320312,33.30986505181432,130.26328288192653,True,神社,名称不明,33.309826562067,130.26326045393947,4.76
shrine,2000.054588317871,1833.5685577392576,33.29206425642238,130.28996865908235,False,神社,名称不明,33.289043727724035,130.28855368494987,360.7
shrine,4460.326099395752,4611.638687133789,33.18606650823617,130.40163118780427,True,神社,名称不明,33.18577588702447,130.40200576186177,47.53
shrine,3766.2184295654297,4423.200546264648,33.19323952927422,130.37011823231188,True,神社,名称不明,33.192415580224065,130.3702899813652,93.0
shrine,6049.436180114746,3213.350830078125,33.239326345762805,130.4741336952046,True,神社,名称不明,33.23931118626432,130.47411158680913,2.66
shrine,6576.534362792969,2059.6780548095703,33.28336757472532,130.49806348985186,True,神社,名称不明,33.28338226281344,130.49820587038997,13.34
shrine,3098.044891357422,2119.7191667556763,33.28111257979872,130.34003168986712,False,神社,名称不明,33.28410089682868,130.34192159771922,375.87
shrine,2195.848571777344,1852.768867492676,33.291328161666506,130.29890008455527,True,神社,名称不明,33.29078469447764,130.29875680804253,61.88
shrine,5038.455108642578,2899.9417419433594,33.25129326601983,130.4282746981437,False,神社,名称不明,33.25257297525113,130.43592497706416,725.48
shrine,6334.538497924805,2972.304962158203,33.24851921697389,130.48708735414058,True,神社,名称不明,33.248155219501754,130.4866240918636,59.11
shrine,5723.883895874023,2087.262435913086,33.28232466543549,130.45940054991505,True,神社,名称不明,33.2813877701714,130.459316521883,104.47
shrine,1191.891284942627,1132.0823364257812,33.31892183107047,130.25299326312418,True,神社,名称不明,33.31833285759363,130.25253698229793,78.02
shrine,3118.8033142089844,1403.5389709472656,33.30850737546539,130.34090978154094,True,神社,名称不明,33.308512999508224,130.34075886011126,14.04
shrine,5674.901351928711,3126.0230407714844,33.24266086695564,130.4571505488661,False,神社,名称不明,33.245268248561786,130.45935139060018,354.89
shrine,5162.02766418457,3704.4826049804688,33.220608410108305,130.4337741768987,True,神社,名称不明,33.22044354287345,130.43266877532008,104.45
shrine,2901.431348800659,1737.140853881836,33.29574442346145,130.33105027886873,True,神社,名称不明,33.29559823629978,130.33063352108005,42.01
shrine,5917.689544677734,2278.5685424804688,33.275011850961555,130.46820131445352,True,神社,名称不明,33.27467858580211,130.46798542141914,42.14
shrine,4984.306213378906,3123.768356323242,33.242752784535405,130.42579365554386,True,神社,名称不明,33.24271206688356,130.42589217424396,10.22
shrine,3809.008850097656,2478.732788085937,33.26738716598468,130.3724007698044,True,神社,名称不明,33.266340719137354,130.37126764655113,156.97
shrine,1474.7159881591797,1897.6719665527344,33.28961660162241,130.26600048630624,True,神社,名称不明,33.288841939247405,130.26567846536636,91.19
shrine,4365.410659790039,799.5926303863525,33.33161865112351,130.39750474586407,True,神社,名称不明,33.33162746490324,130.3977437317371,22.22
shrine,5278.315612792969,3943.943359375001,33.2114837801591,130.4390020503986,True,神社,名称不明,33.210861767627954,130.43881773948672,71.26
shrine,1267.260597229004,1822.467224121094,33.292494823359334,130.2565236649996,True,神社,名称不明,33.292496480462646,130.25659248232844,6.4
shrine,4128.715599060059,4395.836730957031,33.194280361740645,130.38662199899588,True,神社,名称不明,33.19387117253749,130.38701623678207,58.45
shrine,2809.743408203125,1390.7743377685547,33.30899948369173,130.3268301518883,True,神社,名称不明,33.308393074295644,130.326301753521,83.41
shrine,6192.489181518555,3114.007957458496,33.243114365500105,130.48063302849738,True,神社,名称不明,33.2429543409294,130.48022300004956,42.08
shrine,4843.555324554443,4451.6021728515625,33.19215568494784,130.4191065887034,True,神社,名称不明,33.19149305661107,130.4192027449608,74.22
shrine,2354.7723388671875,2328.1179752349854,33.27315343829942,130.30616420968755,True,神社,名称不明,33.27255943479761,130.30620664358136,66.17
shrine,1314.389144897461,2243.881301879883,33.276379975308345,130.2586925373368,True,神社,名称不明,33.27520556245783,130.25814548134807,140.14
shrine,2847.6011962890625,4551.488765716553,33.18835748785441,130.3282354660814,False,神社,名称不明,33.19069509951731,130.33309713006022,521.76
shrine,2132.499626636505,2078.235092163086,33.28270668138448,130.2960236249989,True,神社,名称不明,33.28214117578377,130.29607191681862,63.04
shrine,5453.091522216797,2882.8621826171875,33.251941294874364,130.447104642047,True,神社,名称不明,33.25152211021022,130.44689923524857,50.37
shrine,3645.7876586914062,1986.0526447296145,33.28621744754778,130.36496240312266,False,神社,名称不明,33.28455830822152,130.3582951426506,646.62
shrine,4856.910675048828,2337.3715057373047,33.2727773916833,130.42004579142252,False,神社,名称不明,33.27333197781432,130.4150238633156,470.92
shrine,4556.249084472656,1870.0536041259768,33.29064279486917,130.40636086797994,False,神社,名称不明,33.286306090947846,130.40836393833158,516.91
shrine,4951.27018737793,1072.9419555664062,33.32113959425175,130.42418870014876,False,神社,名称不明,33.3215423955763,130.42134717106822,267.79
shrine,3614.0131835937495,1165.0149393081665,33.317632833426984,130.36341233002892,False,神社,名称不明,33.31872509099069,130.3565758466721,646.74
shrine,2783.93766784668,773.3709106445312,33.33264603813969,130.3255304243738,True,神社,名称不明,33.33250817220223,130.32553732395175,15.34
shrine,4497.3675537109375,3231.854202270508,33.23863318424032,130.40365159253523,True,神社,名称不明,33.23789897433642,130.4037062823772,81.8
shrine,5633.343650817871,3194.8231201171875,33.240036769210654,130.45525653323392,True,神社,名称不明,33.239396434228865,130.45498341321945,75.6
shrine,2507.6056518554688,1014.5587310791016,33.32340891929522,130.3129940618986,True,神社,名称不明,33.32317961785673,130.31276330351827,33.31
shrine,3728.853576660156,2460.796875,33.26807302482693,130.36875367413802,True,神社,名称不明,33.26749120370643,130.3683815896511,73.36
shrine,3446.217666625977,1026.5130462646484,33.32293911343168,130.35574760228397,False,神社,名称不明,33.31872509099069,130.3565758466721,474.86
shrine,3489.4795837402344,3793.290283203125,33.21723231682947,130.35769580166777,False,神社,名称不明,33.215064862853154,130.35055831074718,706.37
shrine,4229.651699066162,2259.054748535156,33.275776341730825,130.39153407259602,True,神社,名称不明,33.27566189924732,130.39106905460355,45.06
shrine,2956.7078857421875,4468.206100463867,33.191527411169574,130.3332365881569,True,神社,名称不明,33.19069509951731,130.33309713006022,93.45
shrine,5049.175796508789,4347.780044555664,33.196106758354745,130.4284826015408,True,神社,名称不明,33.19541652047522,130.4278635978699,95.96
shrine,5398.677499771118,4250.96809387207,33.19979080773021,130.44438587875118,True,神社,名称不明,33.19931736462629,130.44476956129077,63.61
shrine,4060.014263153076,4371.378143310547,33.19521160734821,130.3835043409417,True,神社,名称不明,33.194967620471225,130.38349047303197,27.16
shrine,5221.83203125,1710.753173828125,33.296726596911384,130.43658038228216,False,神社,名称不明,33.29911798466114,130.43390259146693,364.21
shrine,5844.753921508789,4244.509948730469,33.2000344341849,130.46463669525005,True,神社,名称不明,33.19970564397632,130.46452403068542,38.03
shrine,1282.9283142089844,2994.0011138916016,33.24772648526363,130.2572155818905,True,神社,名称不明,33.247167110034255,130.25695994496348,66.59
shrine,3927.231315612793,4725.948394775391,33.1817181997693,130.37733956858844,True,神社,名称不明,33.18145128612469,130.3767178952694,65.02
shrine,4414.960876464844,4378.114227294922,33.194954215487584,130.39964672456802,True,神社,名称不明,33.195315518174944,130.3978657722473,170.52
shrine,2370.7718200683594,726.8998413085938,33.33443236810165,130.30669008594714,True,神社,名称不明,33.33416535683568,130.30659556388852,30.96
shrine,5971.4908447265625,1990.4331817626955,33.28602253635084,130.470627125581,True,神社,名称不明,33.28564689285055,130.47072395682332,42.73
shrine,1886.2243347167969,930.3594207763672,33.32664186285858,130.28464247257332,True,神社,名称不明,33.326197360393884,130.2847570180893,50.56
shrine,5070.303680419922,4407.100311279297,33.19384868547636,130.42942387559037,True,神社,名称不明,33.19329993680359,130.42974919080737,68.11
shrine,6605.916404724121,3165.633781433105,33.24114098573356,130.49937077222083,True,神社,名称不明,33.241131660914085,130.50037845969203,93.72
shrine,2142.4952697753906,1347.335952758789,33.31066955333338,130.29640919779766,True,神社,名称不明,33.3101179640483,130.29673576354978,68.43
shrine,3467.383620262146,1133.7155151367188,33.31883326690586,130.35673297600252,True,神社,名称不明,33.31872509099069,130.3565758466721,18.92
shrine,2160.6554946899414,1794.2316913604736,33.29356755039449,130.29729054272806,True,神社,名称不明,33.29317692568113,130.29714480042458,45.5
shrine,3920.860824584961,1736.5894582271576,33.295754515894934,130.37745762301404,True,神社,名称不明,33.29506241501781,130.37696331739426,89.63
shrine,4088.582000732422,856.2823944091797,33.329450918408604,130.38493303634664,True,神社,名称不明,33.329274386464405,130.3852620720863,36.33
shrine,5493.314758300781,1922.917236328125,33.288609892791825,130.44892559708916,False,神社,名称不明,33.29050668022427,130.45124977827072,301.92
shrine,6365.606622695923,3472.653717041016,33.229435836697505,130.48843545261863,True,神社,名称不明,33.22904941622774,130.48827096819875,45.61
shrine,4625.7050704956055,3138.221708297729,33.24220417431237,130.4094970865587,True,神社,名称不明,33.241206812164336,130.40923699736592,113.51
shrine,6280.647186279297,3525.676406860352,33.22741531015958,130.48457433123014,True,神社,名称不明,33.22764489140319,130.48482567071912,34.62
shrine,3409.2687377929688,2526.9985961914062,33.265546828190324,130.3542057681064,True,神社,名称不明,33.26494240023674,130.35348728299144,94.76
shrine,3629.360931396485,4279.421157836914,33.19871363445171,130.36393413694026,True,神社,名称不明,33.19832084789407,130.36395594477654,43.72
shrine,5789.463401794434,797.2067184448242,33.33168683962259,130.46216881516938,True,神社,名称不明,33.33137423189444,130.462376922369,39.78
shrine,1675.6681823730469,1607.6767578125,33.30070943785747,130.27514737939802,True,神社,名称不明,33.300195178626105,130.27506485581398,57.7
shrine,1589.8543167114258,783.16064453125,33.33228576746713,130.27108607683525,True,神社,名称不明,33.33187733569045,130.2707934379578,52.93
shrine,5329.909194946289,4161.731323242188,33.20318884450059,130.44128846546124,True,神社,名称不明,33.20309123227986,130.44077038764956,49.41
shrine,3616.104705810547,2359.0196838378906,33.27196240467797,130.36362315670772,True,神社,名称不明,33.27231612157578,130.36319956183436,55.66
shrine,3663.5348358154297,2662.230865478516,33.26037992316168,130.36577491075911,True,神社,名称不明,33.25965617126115,130.36530777812004,91.45
shrine,5334.184005737305,3027.252212524414,33.24643227628778,130.441694053284,False,神社,名称不明,33.2422297600712,130.4387989640236,539.31
shrine,1294.691635131836,3746.17626953125,33.21903322961095,130.25762198660155,True,神社,名称不明,33.219031026255074,130.25702029466632,55.97
shrine,4834.637954711914,2210.939064025879,33.27760863948947,130.41903109807555,True,神社,名称不明,33.27690083599582,130.41856437921527,89.87
